index,SMILES,new name,old name,homo,lumo,bandgap
64,C1=C2C(C(=O)N1C)=C(N(C2=O)C),62dc,17u,-5.655804748,-2.325920349,3.3298844
65,c1sc(CC)c2c1nc(s2),63,800,-5.957524586,-1.28821418,4.669310406
66,c1c(OC)c(ccc1),63,989,-6.080247932,-0.221636731,5.858611201
67,c1oc(c(c1C(F)(F)F)OC)C=C,64,966,-5.760133199,-1.121109064,4.639024135
68,c1sc(c2c1C[C@H](F)[C@@H](F)C2)C=C,65,193,-6.122398368,-1.460625515,4.661772853
69,c1c2n(CC)c3c(c2ccc1)cccc3C=C,65,686,-5.526006442,-1.158524719,4.367481723
70,C1=CC=C(C1=S),66,205,-6.300088712,-3.524554649,2.775534064
71,C1=C(c2cscc12)C=C,66,923,-5.368289254,-1.92515107,3.443138184
72,c1sc(c(c1OC)C#N),67,329,-6.442948484,-1.486721234,4.95622725
73,C1=C(Oc2c(csc2)O1),67,892,-5.4733252,-0.454947147,5.018378054
74,c1oc(cc1C),68,472,-6.129500539,0.261964004,6.391464543
75,c1oc(c(c1C(F)(F)F)OC),68,866,-6.482459415,-0.324196441,6.158262974
76,c1sc(c2c1CC[C@@H](O)C2)C=C,69,478,-5.946912146,-1.265247771,4.681664375
77,N1c2cscc2N(CC(=O)C1)C=C,69,516,-5.383473207,-1.202988122,4.180485085
78,c1cc2c(cc1)c1c(C2(CC)CC)cc(cc1)C=C,70,41,-5.742799546,-1.503184122,4.239615425
79,c1occ(C)c1C=C,71,609,-5.964735603,-0.748993374,5.215742229
80,c1c(C)c(c2c1ccco2),72,6,-5.385323581,-1.79450921,3.590814371
81,c1oc(c(c1F)F)C=C,72,806,-6.169365219,-1.27466291,4.894702309
82,c1c2c(sc(C(=O)OCC)c2F)c(s1)C=C,73,201,-5.765412207,-2.16937325,3.596038957
83,c1sc(c2c1CC(=O)C(=O)C2)C=C,74,15,-6.293530769,-2.416071667,3.877459102
84,c1c2cscc2c(N)c(c1),74,552,-5.017643346,-1.297738164,3.719905182
85,c(s1)c2c(=O)c3cn(CC)cc3c(=O)c2c1C=C,75,56,-6.236087535,-2.240422177,3.995665358
86,c1sc(c(c1SCC)SCC)C=CC=C,76,264,-5.484890039,-1.800169178,3.684720861
87,C(=[N])/N=C(\C1=CSC=[S]1),76,772,-4.163450758,-3.478893944,0.684556814
88,c1c(OC)cc(c(c1)OCC(CC)CC)C=C,77,217,-5.480345738,-0.992725749,4.487619989
89,c1[nH]c(C=C)c(c1),78,308,-5.386221557,-0.539193595,4.847027962
90,c1sc(c2c1ocn2)C=C,79,170,-5.877822439,-1.735106756,4.142715683
91,c1sc(c2c1cc[nH]2),79,832,-5.214898677,-0.616827676,4.598071001
92,c(oc1c(F)s2)csc1c2,80,445,-5.446113815,-0.67506004,4.771053775
93,c1sc(c2c1[C@H](S)CCC2)C=C,81,359,-5.82459697,-1.271941771,4.552655199
94,Nc1cscc1N,81,761,-5.228667637,0.224385081,5.453052718
95,c1sc(c2c1c(F)ccc2F)C=C,82,253,-5.563530942,-2.107385715,3.456145227
96,c1sc(c(c1OC)C(F)(F)F),82,276,-6.411845871,-0.86994798,5.541897891
97,c1sc2c(c1)sc1cc(sc21)C=C,83,559,-5.555095412,-1.701419062,3.853676351
98,N(CC)c1cscc1N(CC)C=C,84,102,-5.247008111,-0.31159757,4.935410541
99,C(=C)C#CC=C,84,959,-6.209692491,-1.587974797,4.621717694
100,c1c2c(ncc(C)n2)c(s1)C=C,85,327,-5.831100491,-2.433432531,3.39766796
101,c1sc2c(c1)C(=S)c1c2oc(c1),85,533,-5.774528021,-3.166969838,2.607558184
102,c1sc(c(c1O)C(=O)O)C=C,86,532,-6.168820991,-2.338655277,3.830165714
103,c1c(OC)c(cc(c1)OC),86,15u,-5.505080887,-0.231215139,5.273865748
104,c(s1)c2ccs(=N)(=O)c2c1,87,420,-6.337722058,-1.896932863,4.440789195
105,c1oc2CCc2c1C=C,87,469,-5.829195694,-0.796558875,5.032636819
106,c1sc2nc(sc2c1),88,288,-6.444200208,-1.290418302,5.153781906
107,c1sc(c2c1sc(=S)o2)C=C,88,596,-6.365831419,-2.047711148,4.318120271
108,c1sc(c2c1c(C(=O)C)ccc2)C=C,89,198,-5.552918502,-2.417024066,3.135894436
109,c1occc1S,90,89,-5.891428132,0.075892553,5.967320685
110,c1sc(c2c1C[C@H](C(=O)C(F)(F)F)CC2)C=C,90,750,-5.881441553,-1.795869779,4.085571774
111,C1=CC=C(C1=O)C=C,91,122,-6.164603226,-3.027212164,3.137391062
112,c1c2[nH]cnc2c(c2c1[nH]cn2),91,424,-5.746119335,-0.835933749,4.910185586
113,C1SC=C1C(=O)CC=C,92,297,-6.341558863,-1.828033636,4.513525227
114,c1sc(c2c1cc(OC)cc2)C=C,92,349,-5.256559307,-1.794427576,3.462131731
115,c1sc(c(c1C=C)OC)C=C,93,482,-5.827889548,-1.330473461,4.497416087
116,c1sc2c(c1CC)sc(c2CC)C=C,93,740,-5.569109276,-1.410774258,4.158335018
117,c1sc(c2c1ccc(F)c2)C=C,94,411,-5.510686432,-1.984934482,3.52575195
118,c1sc(c2c1C[C@H](C(=O)O)[C@@H](O)C2)C=C,94,419,-6.069934818,-1.378447132,4.691487685
119,c1sc(c2c1cc(S)c(O)c2)C=C,95,493,-5.275171894,-1.944335096,3.330836798
120,c1c(CC)c(ccc1)C=C,96,173,-6.258128757,-0.987310684,5.270818073
121,c1sc(c2c1c(C(=O)O)ccc2O),96,958,-5.922666802,-2.132719515,3.789947287
122,c1sc(c2c1c(S)ccc2O),97,159,-5.391037972,-1.596628018,3.794409954
123,c1[nH]c(/C=C/c2[nH]ccc2)c(c1)C=C,98,626,-4.777720564,-1.161164223,3.616556341
124,N1[C@@H]2C[C@@H]3NSN[C@@H]3C[C@@H]2N(S1)C=C,98,804,-5.086107191,0.039755834,5.125863025
125,C=NNc1ccc(cc1)C=C,99,294,-5.371581832,-1.044182479,4.327399353
126,c1sc(c2c1[C@H](C#N)CC[C@H]2OC)C=C,100,568,-6.330946423,-1.509524374,4.821422049
127,c1cccc2c1N(C)C(=O)C2C1C(=O)N(C)c2cc(ccc12)C=C,101,121,-6.003593461,-1.365684993,4.637908468
128,C1SC[C@](C1)(C(=O)N)NC=C,102,796,-5.980246092,0.331353036,6.311599128
129,c(s1)cc(c(CC)c(CC)2)c1c(s3)c2cc3C=C,102,997,-5.57822509,-1.594641587,3.983583503
130,c1cc2c(C(CN)CN)c3cC(ccc3c2cc1)C=C,103,187,-4.689855002,-2.575693652,2.11416135
131,N1N[C@H]2[C@@H](C)[C@@H]3[C@@H](NSN3)[C@H](C)[C@H]2N1,103,335,-6.17823613,0.275488062,6.453724192
132,c1sc(c2c1ocn2),104,215,-6.442431468,-1.287642741,5.154788727
133,c1scc(C)c1C=CC=C,104,304,-5.651532561,-1.468326337,4.183206224
134,c1oc(cc1C(=O)O)C=C,105,850,-6.468227861,-1.534041832,4.934186028
135,c1sc(c2c1c(C)ccc2),106,55,-5.508727212,-1.527592734,3.981134478
136,c1sc(c2c1SCCCS2)C=C,106,754,-5.748432303,-1.433087594,4.31534471
137,c1occ(N(=O)=O)c1NC=C,107,241,-5.77036468,-2.570659546,3.199705134
138,c1sc(c2c1cc(C(F)(F)F)c(C#N)c2)C=C,108,762,-6.215842264,-2.884352393,3.331489871
139,c1[nH]cc(c1C)C=C,109,389,-5.489597609,0.004163342,5.493760951
140,c1sc(c2c1scn2)C=C,109,436,-5.812515115,-1.832605149,3.979909966
141,c1[nH]cnc1,110,167,-6.340035026,0.626242816,6.966277841
142,c1c2c(ncc(CC)n2)c(s1),111,81,-6.285476199,-2.292423134,3.993053065
143,c1sc(c2c1[nH]cn2)C=C,111,986,-5.382330329,-1.372025246,4.010305083
144,C1=CC=C(C1=S)C=C,112,246,-6.038913839,-3.590623892,2.448289947
145,c1scc2c1c(c(cc2)O)C=C,112,286,-5.380044572,-1.714126778,3.665917794
146,C1=C2C(C(=O)N1)=C(OC2=O),113,289,-6.401940927,-2.784404975,3.617535951
147,c1sc(c2c1[C@H](OC)CCC2),113,911,-6.175977585,-0.371789154,5.804188431
148,c1scc2c1nc(c(NC)n2)N(C)C=C,114,398,-5.638471096,-1.70492933,3.933541766
149,N1[C@H]2CSC[C@H]2N(S1)C=C,114,634,-5.042541764,-0.763524253,4.279017511
150,c1c(C(=O)C)scc1C=C,115,24,-6.4371,-1.8596,4.5775
151,c1sc(c2c1[C@H](C(F)(F)F)CC[C@H]2C(F)(F)F)C=C,115,527,-6.377722794,-1.334936128,5.042786666
152,c1sc(c2c1CC[C@@H](N)C2)C=C,116,679,-5.791535137,-1.117952543,4.673582594
153,NCc1cc(OCC)c(cc1OCC)CNC=C,117,608,-5.33166273,-0.237120009,5.094542721
154,c1oc(cc1C(=O)OC)C=C,118,511,-6.155868372,-1.247097777,4.908770595
155,c1sc(c2c1c(C#N)ccc2),118,638,-6.158916047,-2.39903734,3.759878707
156,Sc1cscc1SC=C,119,148,-6.028165342,-0.910601789,5.117563552
157,c1scc2c1c(c(cc2)O),120,564,-5.399908883,-1.461605125,3.938303758
158,c1sc(c2c1C[C@H](C(F)(F)F)CC2)C=C,121,75,-5.873196504,-1.218797936,4.654398567
159,c1scc2c1N(CCN2C(=O)O)C=C,121,106,-5.609436548,-1.069271376,4.540165172
160,c1sc(c2c1[C@H](C)CC[C@H]2C=C)C=C,122,775,-5.706553982,-1.224403482,4.4821505
161,c1sc(c2c1cc(SCC)c(SCC)c2)C=C,122,874,-5.067657872,-1.801556959,3.266100913
162,C1SCN2[C@H]1NCC2,123,234,-5.786364974,0.917459058,6.703824032
163,c1sc(c2c1CC[C@@H](C=O)C2),123,810,-6.235461673,-0.873975265,5.361486408
164,c1[nH]cnc1C=C,124,767,-5.828705889,-0.452552545,5.376153344
165,c1sc(c2c1oc(=S)o2)C=C,124,793,-6.509262629,-2.029234617,4.480028012
166,c1sc(c2c1sc(=O)s2)C=C,125,160,-6.238590982,-1.79627795,4.442313032
167,c1sc(c2c1cc(OC)c(OC)c2)C=C,125,884,-6.195624205,-0.404633296,5.790990909
168,c1sc(c2c1nc(N)c(N)n2)C=C,126,562,-5.291444303,-1.741583066,3.549861237
169,c1ccc(cc1)C=C,127,95,-6.280278824,-1.142932595,5.137346229
170,c1sc(c(c1C(=O)O)OC)C=C,128,476,-6.487847269,-1.871190893,4.616656376
171,c1n(C)c(=O)c2c1c(=O)n(C)c2,128,4a,-5.684104589,-2.35462836,3.329476229
172,c1sc(c2c1[C@H](N)CC[C@H]2N)C=C,129,531,-5.672648596,-0.976290073,4.696358523
173,c1sc(c2c1[nH]nc2)C=C,129,809,-5.480672274,-1.755841832,3.724830442
174,c1sc(c2c1[C@H](OC)CCC2)C=C,131,345,-5.744568287,-1.071693189,4.672875098
175,c1sc(c2c1cc(C=O)cc2)C=C,131,611,-5.76761633,-2.434439352,3.333176978
176,c1c2c(OCN2)c(s1),132,64,-5.381976581,-0.036626524,5.345350057
177,C1C2CC(=C)O[C@H](C1C=CC2C)CCC,132,68,-6.153963575,0.109253711,6.263217286
178,c1occ(N(=O)=O)c1N,133,144,-6.134833971,-2.377241021,3.75759295
179,c1scc2c1C(=[S@@](OC)C(=C2)OC)C=C,134,216,-5.149509718,-1.58253252,3.566977198
180,c1sc(c2c1cc(C=C)cc2),134,285,-5.563286039,-1.720984047,3.842301992
181,c1cc2c(cc1)c1c(C2(CC)CC)cc(cc1),135,380,-5.980817532,-1.078060653,4.902756879
182,c1sc(c2c1[nH]c(N(=O)=O)c2),135,714,-6.06645176,-2.729519612,3.336932149
183,c1sc(CC)c2c1nc(s2)C=C,136,685,-5.8430735,-1.86248325,3.980590251
184,C=CC=C,136,60u,-6.485289399,-0.937677117,5.547612282
185,c1sc(cc1)c1ccc(s1)c1sc(cc1)C=C,137,637,-5.285675489,-1.952308032,3.333367457
186,c1c2c(ncs2)c(c2c1ncs2)C=C,137,935,-6.095703999,-1.963328643,4.132375356
187,C1=Cc2[nH]c(cc2C1),138,379,-5.036936218,-0.207051429,4.829884789
188,c1sc(c2c1[C@H](C=C)CCC2),140,221,-6.175895951,-0.415789964,5.760105987
189,c1oc2CCc2c1,140,776,-5.988899313,0.282073217,6.27097253
190,c1c(CC)sc(c1),141,94,-6.222563476,-0.347271696,5.87529178
191,c(s1)c2cc(OC)c(OC)cc2c1,141,891,-5.374629507,-1.332051721,4.042577786
192,C1C[C@@H]2[C@@H](CC1)N(CC)[C@@H]1[C@@H](S2)CCCC1C=C,142,366,-5.303879906,0.301012341,5.604892247
193,c1cCcc1C=C,143,305,-5.8540669,-0.979228902,4.874837998
194,c1sc2c(c1)sc1cc(sc21),143,61u,-5.762174053,-1.249220265,4.512953788
195,c1c2c(nccc2)c(s1),144,325,-6.035539627,-1.958348959,4.077190668
196,c1sc(c2c1nc(OCC)c(OCC)n2),145,320,-5.940463047,-1.609281312,4.331181736
197,c1sccc1OC=C,145,614,-6.026124488,-0.618052189,5.408072299
198,C#Cc1sc(cc1)C#C,146,181,-6.14522872,-1.838754922,4.306473798
199,c1c2ccccc2c(c1=O)C=C,146,602,-5.425705277,-3.556827351,1.868877925
200,C1=C[C@@H]2[C@H](C1)[C@@H]1[C@@H](C=CC1)C2=C,147,212,-6.451057477,0.005387854,6.456445331
201,c1sc(c2c1CC[C@@H](N)C2),147,312,-6.234073892,-0.425422794,5.808651098
202,c1c(OC)sc(OC)c1,148,156,-5.168231151,0.385775806,5.554006957
203,c1sc(c(c1OC)C#N)C=C,148,738,-6.293830094,-2.008445119,4.285384975
204,c1sc(c2c1CC[C@@H](O)C2),149,374,-6.39826739,-0.591112917,5.807154472
205,c1sc2c(c1)n(C)c1c2sc(c1)C=C,150,85,-5.111304934,-1.374583116,3.736721818
206,c1c(CC)cc(s1)C=C,150,465,-5.853332193,-1.195586625,4.657745568
207,c1sc(c2c1C=[S]C=C2)C=C,151,37,-4.203941299,-1.510340716,2.693600583
208,c1sc2c(c1)n(C)c1c2sc(c1),151,3d,-5.269620772,-0.758109187,4.511511584
209,c1cc(c(cc1)N(c1ccccc1)c1ccccc1)C=C,152,321,-5.229783304,-1.221138116,4.008645189
210,c1sc(c(c1OC)C(F)(F)F)C=C,152,337,-6.119024156,-1.59273679,4.526287366
211,c1sc(c2c1cc(C)c(C)c2),153,249,-5.373649897,-1.439727172,3.933922725
212,c1sc(c(c1O)OC),153,452,-5.736105546,-0.061307251,5.674798295
213,N(CC)c1ccc(c(c1)C=C)N(CC)C=C,154,206,-4.90474331,-0.956752298,3.947991012
214,c1nc2c(s1)[C@H]1[C@H](C2(CC)CC)N(CS1),154,934,-6.07096885,-0.968915787,5.102053063
215,c1sc(c2c1c(C)ccc2C)C=C,155,550,-5.272423545,-1.684030987,3.588392558
216,c(s1)c(CCN)c(CCN)c1,156,570,-6.073363452,-0.144846203,5.928517249
217,C1=Cc2[nH]c(cc2C1)C=C,156,942,-4.869069184,-0.803443355,4.065625829
218,c1sccc1SC=C,157,126,-5.817739701,-0.786953256,5.030786445
219,c1sc(c2c1[nH]nc2),157,916,-5.717248056,-1.228920572,4.488327484
220,c1c(nc2cSc12),158,643,-6.024573439,-2.796241928,3.228331511
221,c1sc(c(c1O)C(=O)O),159,228,-6.329803545,-1.836822914,4.492980631
222,c1sc(c2c1c(C=C)ccc2),159,382,-5.491774519,-1.800278024,3.691496495
223,c1[nH]cc2c1S(=O)(=O)C(=C2)C=C,160,606,-6.083594933,-1.80982922,4.273765713
224,c1csc2c1c(CC)c(CC)c1c(csc21)C=C,161,119,-5.697356533,-1.163586036,4.533770497
225,c1n(CC)c(cc1)C=C,161,210,-5.2966961,-0.553098613,4.743597487
226,c1occc1N,162,200,-5.427446805,0.524689927,5.952136732
227,c1scc2c1[C@@H](CC[C@H]2N(=O)=O)NC=C,162,698,-5.545136045,-1.979900376,3.565235669
228,c1sc(c2c1CCC[C@H]2O)C=C,163,184,-5.929143111,-1.232675743,4.696467369
229,c1sc(c2c1c(C=C)ccc2C),164,214,-5.398439469,-1.740902781,3.657536688
230,c1sc(c2c1cc(C(=O)O)c(O)c2)C=C,164,755,-5.738962741,-2.326763901,3.41219884
231,C1=C/C(/C(=C1)OC)=C\1/C=C(C=C1OC)C=C,165,551,-5.246735997,-2.686090241,2.560645756
232,c(nc1c2)cs1nc2C=C,165,757,-5.777657331,-2.344859473,3.432797858
233,c1cc2c(s1)c1c([nH]2)cc(s1),166,157,-5.319526452,-0.762952814,4.556573638
234,c1n(CC)nc(c1CC)CCC=C,167,74,-6.176929984,0.416143712,6.593073695
235,c1c(F)cccc1C=C,168,28,-6.480609041,-1.383807775,5.096801265
236,c1sc(c2c1SCCCS2),168,31,-5.838474776,-0.765020879,5.073453897
237,c1cc2c(cs1)c1c(ccs1)c2C=C,169,16,-5.075984556,-1.941532323,3.134452233
238,C=Cc1oc(c(c1O)O)C=C,169,422,-5.239443346,-1.325820314,3.913623032
239,c1c2nsnc2c(c2c1nc(CC)c(CC)n2),170,712,-6.309231738,-3.099295123,3.209936615
240,c1c(OC)cc(c(c1)OCC)C=C,170,798,-5.420453479,-0.961242177,4.459211302
241,c1sc(c2c1OCCCO2),171,145,-6.156766347,-0.317992246,5.838774102
242,c1oc(cc1C)C=C,171,500,-6.367899484,0.226153821,6.594053305
243,c1sc(c2c1c(C(F)(F)F)ccc2OC)C=C,172,358,-5.500291683,-2.10099104,3.399300643
244,c1sc(c2c1OCCCC2)C=C,173,231,-5.819508441,-1.10472781,4.714780631
245,c1c2c(ccs1)nc1c2sc(c1)C=C,173,777,-5.631042388,-2.202407872,3.428634516
246,c1sc(O)c(c1),174,259,-5.787371795,-0.082477708,5.704894087
247,c1scc(C#N)c1N,176,86,-6.03521309,-1.363181545,4.672031545
248,c1sccc1/C=C(/Cc1ccc(CC)cc1)C=C,177,585,-5.777303583,-1.375535514,4.401768069
249,c1cc2c(s1)cc(s2)C=C,178,138,-5.736214391,-1.529987336,4.206227055
250,C=C(C)CNC=C,178,505,-5.463991695,0.131594258,5.595585953
251,c1sc(c2c1OSCS2)C=C,179,737,-5.753629678,-1.343698194,4.409931484
252,N1CN[C@@H]2N[C@H]3[C@@H](N[C@H]12)NCN3C=C,180,520,-5.337213852,0.761565033,6.098778886
253,C1=C2OCCSC2=C([S@@]1NC),180,541,-3.792858905,0.645671744,4.438530649
254,C1=C(Oc2c(csc2)O1)C=C,181,78,-5.432045529,-0.922955758,4.509089771
255,c1sc(c2c1c(C(=O)C)ccc2),181,992,-5.917496639,-2.246517527,3.670979112
256,c1sc2c(c1)c1c(scc1)c(c2),182,595,-5.828624255,-1.220185717,4.608438538
257,c1sc(c2c1OCC[C@@H](SC)O2)C=C,183,348,-5.554796087,-0.966929356,4.587866731
258,c1sc(c2c1CCC[C@H]2C=O)C=C,183,459,-5.906639296,-1.456380539,4.450258757
259,c1cc2c(s1)c1c(C2(CC)CC)cc(s1)C=C,184,336,-5.189265552,-1.623104695,3.566160857
260,c1oc(c(c1OC)C#N)C=C,185,58,-6.290347036,-1.832931686,4.45741535
261,c1sc(c(c1OC)OC),185,9u,-5.648974691,0.019809888,5.668784579
262,c1sc(c2c1c(C#N)ccc2)C=C,186,97,-5.900924905,-2.55169321,3.349231695
263,c1sc2c(c1)C(C)(C)c1c2sc(c1)C=C,186,930,-5.189537666,-1.609689483,3.579848183
264,C1=C(F)C=C/C/1=C\1/C(=CC(=C1)F)C=C,187,197,-5.929850607,-3.197881971,2.731968636
265,c1oc(nc1)C=C,188,180,-6.396525861,-1.317901801,5.07862406
266,c1occc1C=CC=C,188,414,-5.72911222,-1.345466934,4.383645286
267,c1c2n(CC)c3c(c2ccc1)cccc3,189,706,-5.559639714,-0.952235208,4.607404506
268,c1scc(N(=O)=O)c1N,190,376,-6.031757244,-2.438385003,3.593372241
269,c1sc(c2c1[C@H](S)CC[C@H]2O),190,732,-6.280931897,-0.86483224,5.416099658
270,c1c(C)Nc(C)c1C=C,191,678,-5.171686997,0.056436413,5.22812341
271,c1c(OCC)cc(CC)c(OCC)c1C=C,192,347,-5.712105104,-0.943255451,4.768849653
272,c1sc(c2c1cc(C#N)cc2),192,915,-6.198508612,-2.341702952,3.85680566
273,c1csc2c1n(CC)c1c2scc1,193,486,-5.263960804,-0.75854457,4.505416234
